Time, New Command, Measured EIP, Command EIP, Measured DI, Command DI, Measured EDC, Command EDC, Measured PI, Command PI, Measured LUM, Command LUM, Measured FDS, Command FDS, Measured FDP, Command FDP, Force y, Mx, Force x, M z, M y, Force z,0.331121919
19.71,0,5.000365,5,-0.607603,10,4.973184,5,10.001048,10,31.045743,5,5.037631,5,5.058503,5,0.200136,0.297787,0.12859,0.023526,-0.187889,-0.035129,0.074309436
19.79,0,4.994762,5,-0.608956,10,4.95771,5,9.975689,10,31.008654,5,5.002696,5,5.04178,5,0.199814,0.29682,0.12859,0.023204,-0.188534,-0.034806,0.48825408
41.1,0,9.975536,10,-0.600837,10,9.977319,10,10.004218,10,30.714414,10,4.998038,5,4.983252,5,0.194657,0.28683,0.114732,0.021915,-0.171131,-0.018692,0.890287531
52.05,0,5.017173,5,-0.595424,10,4.874153,5,9.95667,10,30.462209,5,10.00307,10,5.027845,5,0.182088,0.277161,0.180799,0.019337,-0.259758,-0.05092,0.695356588
111.7,0,4.996163,5,-0.587305,10,9.995887,10,4.976748,5,30.959202,5,10.07294,10,10.077992,10,0.167908,0.257824,0.23881,0.018048,-0.326792,-0.047375,0.931915675
24.4,0,9.345234,10,-0.61031,10,9.974224,10,9.994708,10,30.753976,5,4.890904,5,4.863409,5,0.198525,0.293597,0.119566,0.023526,-0.179188,-0.021593,0.359115978
135.081,0,9.975536,10,-0.60219,5,9.97113,10,9.982029,10,30.660017,10,10.012386,10,9.99438,10,0.160495,0.245578,0.240743,0.017081,-0.329048,-0.04093,0.724051212
87.57,0,4.993362,5,-0.590011,10,10.088728,10,10.077126,10,30.882551,5,4.99338,5,10.04176,10,0.171131,0.259758,0.218828,0.01837,-0.297142,-0.042219,0.41126963
38.38,0,9.255591,10,-0.59813,5,10.042308,10,9.94399,10,30.912222,10,5.081882,5,4.927511,5,0.194979,0.288441,0.118921,0.022882,-0.174998,-0.019981,0.985305961
56.32,0,7.298858,10,-0.60219,10,9.841152,10,9.791834,10,30.321271,5,9.919225,10,4.983252,5,0.182733,0.27845,0.177899,0.018048,-0.258147,-0.045764,0.040109739
97.15,0,10.014755,10,-0.590011,10,10.051592,10,5.055995,5,30.880078,10,5.070237,5,10.01389,10,0.169519,0.258791,0.209482,0.018048,-0.289085,-0.029005,0.307272785
22.59,0,9.933516,10,-0.611663,5,9.96494,10,10.020068,10,30.788592,5,4.988722,5,4.9944,5,0.198847,0.294564,0.119566,0.02256,-0.178866,-0.01837,0.322778487
43.67,0,4.98916,5,-0.590011,10,4.979373,5,5.008447,5,30.838044,5,10.014715,10,5.078012,5,0.185311,0.282318,0.179188,0.019337,-0.257502,-0.04802,0.083135878
90.97,0,9.947522,10,-0.583245,5,4.976278,5,4.8975,5,30.865243,10,5.121475,5,9.955362,10,0.16823,0.254601,0.212705,0.018048,-0.291664,-0.034162,0.242590238
138.551,0,10.017556,10,-0.600837,10,9.961845,10,9.94399,10,30.773757,10,9.975122,10,9.997167,10,0.16114,0.2459,0.240421,0.018048,-0.328404,-0.041574,0.900921716
20.15,0,4.98916,5,-0.60625,10,5.053646,5,10.045427,10,31.065524,5,4.911865,5,4.944233,5,0.199814,0.296176,0.128268,0.023526,-0.187889,-0.035451,0.959944546
3.54,0,2.001545,2,-0.520996,2,2.023934,2,2.066776,2,31.080359,2,2.000612,2,2.009465,2,0.19369,0.298109,0.128268,0.02256,-0.184344,-0.05092,0.716901397
87.85,0,4.977954,5,-0.591364,10,10.014455,10,10.124675,10,30.756448,5,5.03996,5,10.069631,10,0.171775,0.260403,0.217539,0.019981,-0.298109,-0.043186,0.99167296
88.7,0,9.979738,10,-0.595424,10,9.924709,10,10.124675,10,30.647654,5,4.865285,5,10.038973,10,0.167908,0.253312,0.213027,0.01837,-0.293275,-0.032228,0.272746531
132.94,0,9.996546,10,-0.599484,10,5.041267,5,10.051767,10,30.820736,10,10.024031,10,9.924704,10,0.157273,0.242999,0.240743,0.015469,-0.330015,-0.046731,0.415567949
114.27,0,5.001766,10,-0.596777,5,5.050551,5,10.051767,10,30.823209,5,10.019373,10,10.047335,10,0.164041,0.252346,0.243322,0.017081,-0.334849,-0.055432,0.023145979
74.21,0,5.008769,5,-0.590011,5,5.044362,5,4.998937,5,30.936948,5,5.005025,5,9.974871,10,0.173064,0.262981,0.218828,0.018048,-0.299721,-0.04802,0.962244174
118.04,0,4.997564,5,-0.60219,5,10.026834,10,10.026408,10,30.810846,5,9.944844,10,9.933065,10,0.163718,0.253635,0.243322,0.01837,-0.334205,-0.051565,0.080847152
62.95,0,9.976936,10,-0.592718,5,10.036118,10,4.986257,5,30.42512,10,9.977451,10,4.988826,5,0.178543,0.272649,0.173065,0.019015,-0.25299,-0.033517,0.63689855
